N,P,K,temperature,humidity,ph,rainfall,label
15.3,65.9,17.2,28.11,48.54,6.19,167.75,pigeonpeas
28.8,65.8,21.4,26.33,45.54,6.23,156.52,pigeonpeas
12.6,74.7,21.4,30.44,45.85,5.64,154.23,pigeonpeas
23.5,65.3,5.9,29.45,46.09,6.59,134.98,pigeonpeas
23.9,65.9,25.4,26.75,52.01,5.88,134.11,pigeonpeas
13.2,61.8,23.6,28.54,50.55,5.56,144.96,pigeonpeas
18.1,64.9,21.9,30.24,49.46,6.26,152.55,pigeonpeas
9.1,72.0,16.1,24.5,51.96,5.78,127.65,pigeonpeas
10.0,70.0,12.4,29.12,51.13,5.74,155.15,pigeonpeas
20.4,68.6,40.1,26.72,50.2,6.09,167.67,pigeonpeas
22.2,73.2,25.6,27.35,49.17,5.83,147.47,pigeonpeas
20.7,50.9,32.5,27.53,46.69,5.95,142.74,pigeonpeas
26.0,62.7,29.6,30.07,48.1,5.74,140.48,pigeonpeas
14.2,68.2,5.0,29.01,52.43,5.84,152.83,pigeonpeas
18.1,54.4,29.0,26.03,43.03,6.02,141.48,pigeonpeas
16.2,67.0,19.5,27.99,51.03,5.98,139.78,pigeonpeas
13.1,60.6,5.0,26.69,42.87,5.83,144.88,pigeonpeas
28.8,65.3,20.6,27.03,41.73,5.53,137.5,pigeonpeas
18.3,65.2,27.1,26.32,44.69,5.87,131.04,pigeonpeas
35.6,77.9,27.8,25.4,49.85,5.81,130.97,pigeonpeas
25.4,62.3,13.7,27.29,51.44,5.89,162.09,pigeonpeas
3.1,63.6,18.8,26.23,46.23,5.43,164.78,pigeonpeas
25.7,71.7,12.0,27.58,47.64,5.4,146.65,pigeonpeas
13.6,60.0,13.0,26.56,50.18,6.19,153.47,pigeonpeas
44.4,57.9,12.7,28.54,53.6,5.28,156.83,pigeonpeas
12.9,65.2,15.4,26.7,43.84,6.5,150.49,pigeonpeas
15.8,45.4,26.8,28.32,40.76,5.63,147.32,pigeonpeas
25.0,51.2,18.1,27.88,40.69,5.9,148.58,pigeonpeas
7.7,64.5,16.7,27.27,45.54,5.97,122.96,pigeonpeas
16.2,71.6,23.8,27.5,45.69,5.71,133.85,pigeonpeas
27.0,69.4,13.9,28.36,40.39,5.45,162.95,pigeonpeas
30.9,61.6,15.1,26.14,46.36,5.72,152.09,pigeonpeas
28.2,65.1,20.9,25.22,40.5,6.27,158.34,pigeonpeas
14.8,65.6,18.1,31.75,45.04,5.97,144.28,pigeonpeas
27.2,81.5,24.7,24.15,45.14,5.92,160.44,pigeonpeas
17.5,61.2,6.7,24.53,55.87,5.64,141.76,pigeonpeas
15.2,73.2,12.0,30.25,58.08,5.96,122.58,pigeonpeas
11.5,68.0,30.0,26.64,49.39,6.09,135.74,pigeonpeas
17.7,66.7,5.0,24.14,49.77,6.31,160.56,pigeonpeas
16.0,69.9,20.3,28.9,49.87,5.39,127.62,pigeonpeas
25.4,73.7,15.9,27.24,50.07,5.9,139.36,pigeonpeas
23.2,65.7,12.2,27.1,48.89,6.0,159.77,pigeonpeas
13.1,66.5,13.9,29.55,49.89,5.81,135.58,pigeonpeas
31.1,61.8,13.6,27.85,50.77,5.88,140.94,pigeonpeas
14.9,68.7,22.4,27.58,45.03,5.57,137.31,pigeonpeas
29.5,59.0,24.6,26.95,41.4,6.12,138.7,pigeonpeas
23.6,65.6,25.2,25.8,49.14,6.22,142.4,pigeonpeas
36.3,71.0,5.0,28.82,46.02,6.04,164.58,pigeonpeas
23.6,58.9,15.4,30.44,45.68,5.87,146.58,pigeonpeas
1.4,58.7,26.9,27.42,52.46,5.22,147.02,pigeonpeas
32.7,75.9,23.0,29.5,56.59,5.74,156.99,pigeonpeas
12.0,68.2,12.9,28.53,47.0,6.38,138.2,pigeonpeas
33.6,63.0,19.0,29.33,39.82,6.31,123.82,pigeonpeas
26.6,67.8,22.8,29.31,48.58,6.02,158.67,pigeonpeas
29.8,71.8,30.1,26.51,45.1,5.5,138.4,pigeonpeas
13.2,65.0,5.0,25.11,48.19,6.0,138.86,pigeonpeas
14.2,65.4,20.8,28.03,47.75,6.09,140.75,pigeonpeas
21.5,73.5,33.2,31.87,49.12,5.45,185.24,pigeonpeas
0.0,72.5,23.8,29.85,48.39,5.95,158.75,pigeonpeas
22.0,69.6,18.9,29.06,51.61,5.88,129.8,pigeonpeas
13.3,69.1,13.4,32.63,48.71,6.14,157.54,pigeonpeas
22.1,64.4,20.1,27.63,47.35,6.34,128.32,pigeonpeas
0.2,58.4,7.4,29.21,42.84,5.83,158.38,pigeonpeas
25.1,75.3,20.1,28.3,50.7,5.5,144.35,pigeonpeas
11.3,60.0,20.5,30.68,53.87,5.54,165.58,pigeonpeas
3.6,67.3,28.3,25.32,52.56,5.97,140.03,pigeonpeas
12.5,76.3,23.0,30.63,50.72,6.32,139.12,pigeonpeas
20.3,61.3,26.5,31.11,45.26,5.71,153.39,pigeonpeas
6.7,69.4,19.2,29.7,51.09,5.45,168.41,pigeonpeas
26.9,74.4,41.6,28.53,50.78,6.08,149.86,pigeonpeas
14.0,68.5,17.1,27.47,51.28,5.87,146.07,pigeonpeas
17.8,75.0,18.8,26.18,42.99,5.72,151.44,pigeonpeas
27.2,77.4,14.9,29.76,55.92,5.92,139.83,pigeonpeas
18.0,72.7,6.9,28.98,48.26,5.54,166.68,pigeonpeas
15.2,62.3,20.9,28.69,47.11,6.46,27.12,mothbeans
17.7,57.4,14.9,28.66,56.22,6.55,58.81,mothbeans
23.3,53.6,16.4,29.0,56.21,6.73,50.93,mothbeans
27.8,51.3,12.5,27.52,53.03,6.53,39.94,mothbeans
17.8,39.1,24.8,28.73,58.29,7.08,49.46,mothbeans
15.7,41.4,10.2,28.35,51.51,7.62,62.26,mothbeans
21.1,52.1,5.0,29.48,58.63,7.05,49.47,mothbeans
19.5,53.9,20.8,24.47,59.69,7.0,48.29,mothbeans
29.0,50.5,38.9,29.42,44.87,6.43,57.3,mothbeans
17.2,39.9,27.2,28.94,46.72,6.75,57.54,mothbeans
18.4,46.2,34.3,27.16,54.06,6.53,63.07,mothbeans
19.8,39.6,36.3,30.26,51.98,6.58,23.07,mothbeans
25.0,45.1,11.7,26.73,49.11,6.96,46.58,mothbeans
10.4,58.2,18.7,29.31,51.35,6.42,51.62,mothbeans
17.1,64.3,33.6,33.63,53.28,6.53,40.13,mothbeans
11.8,41.8,13.3,29.53,59.83,6.61,53.96,mothbeans
9.4,40.2,31.9,28.27,57.98,6.33,50.21,mothbeans
13.9,36.8,14.6,26.89,54.03,7.56,82.24,mothbeans
21.3,46.3,8.9,28.7,53.85,6.78,57.16,mothbeans
19.5,48.6,5.0,27.48,50.41,7.36,57.37,mothbeans
20.6,49.8,33.5,29.6,56.11,6.77,38.41,mothbeans
40.1,53.9,22.3,29.85,51.58,6.22,54.91,mothbeans
23.3,49.5,28.7,26.9,60.45,7.1,64.14,mothbeans
35.1,52.2,8.9,30.73,50.54,6.75,60.95,mothbeans
21.2,50.3,24.5,25.66,52.11,6.81,70.51,mothbeans
16.2,57.4,26.9,27.74,51.12,6.71,41.84,mothbeans
20.6,53.9,25.4,27.8,53.58,7.01,37.46,mothbeans
23.0,37.8,18.0,25.1,50.73,6.67,47.49,mothbeans
29.4,45.1,27.9,29.66,50.45,6.86,50.62,mothbeans
15.8,47.9,5.0,28.76,57.92,6.92,52.87,mothbeans
9.3,53.9,24.9,30.54,58.36,6.67,49.04,mothbeans
32.3,36.7,22.6,26.31,49.87,7.07,49.98,mothbeans
22.4,56.3,28.8,29.07,55.16,7.1,39.71,mothbeans
9.5,47.8,25.5,30.6,53.44,7.16,55.84,mothbeans
10.3,50.4,29.4,26.9,54.83,6.71,48.85,mothbeans
18.8,48.7,10.2,29.99,57.36,7.14,40.08,mothbeans
26.2,54.9,23.5,26.53,51.09,7.25,49.69,mothbeans
15.3,42.6,15.0,29.26,45.08,6.42,32.56,mothbeans
26.4,40.7,5.0,27.64,54.45,6.64,44.11,mothbeans
30.8,58.2,22.6,27.17,55.63,6.87,50.55,mothbeans
29.8,38.3,21.0,28.32,63.2,6.68,60.49,mothbeans
22.5,47.3,21.5,31.65,54.09,6.52,40.73,mothbeans
31.7,47.8,26.7,26.25,51.56,6.35,67.99,mothbeans
10.2,52.4,13.7,28.39,53.95,6.7,45.99,mothbeans
17.3,54.4,31.9,23.87,52.6,6.64,56.93,mothbeans
25.1,50.0,30.3,26.74,52.25,7.46,39.44,mothbeans
35.4,55.3,12.6,27.64,54.28,6.85,65.48,mothbeans
20.6,41.4,24.9,25.03,42.5,6.85,41.98,mothbeans
25.9,44.2,13.3,25.64,54.03,6.98,40.38,mothbeans
13.3,51.4,24.9,25.84,58.06,6.91,48.94,mothbeans
24.7,41.1,27.1,31.47,47.76,6.52,52.06,mothbeans
6.2,45.9,14.9,29.62,61.7,7.34,43.76,mothbeans
9.6,58.2,18.6,26.74,48.13,6.56,52.6,mothbeans
23.6,52.4,24.2,30.52,55.48,6.67,58.05,mothbeans
28.3,37.1,26.4,28.69,51.15,6.74,51.27,mothbeans
24.1,53.0,15.0,30.49,55.67,6.84,54.22,mothbeans
12.6,55.2,30.0,26.05,55.84,7.23,38.41,mothbeans
17.2,51.5,28.3,23.65,52.42,6.71,37.04,mothbeans
26.3,46.0,5.0,28.61,56.44,6.71,43.93,mothbeans
14.9,48.7,11.7,29.66,52.97,6.74,38.12,mothbeans
16.5,28.4,22.9,29.46,50.68,7.39,52.22,mothbeans
24.2,40.9,14.0,27.68,59.9,6.73,45.84,mothbeans
22.8,54.7,19.9,26.55,53.21,6.68,50.54,mothbeans
25.6,48.4,26.2,29.09,52.1,6.69,64.37,mothbeans
33.7,41.7,19.5,28.26,45.76,6.83,50.96,mothbeans
29.7,53.4,30.3,28.63,58.16,6.42,54.77,mothbeans
17.7,37.8,24.1,27.31,52.72,6.5,35.4,mothbeans
38.6,49.3,13.8,24.76,51.1,6.72,34.93,mothbeans
21.2,44.3,25.0,27.69,54.32,6.96,51.15,mothbeans
21.1,60.3,26.0,31.55,49.35,6.47,55.51,mothbeans
21.1,41.7,11.3,29.48,54.89,6.39,69.47,mothbeans
30.5,51.5,14.1,23.99,58.9,7.34,44.11,mothbeans
28.6,51.8,27.8,28.85,54.2,6.78,45.96,mothbeans
9.6,32.6,31.0,30.21,58.13,6.58,36.81,mothbeans
21.2,52.0,6.2,24.03,52.79,6.66,63.23,mothbeans
11.6,61.7,30.4,29.17,53.23,6.87,48.99,mothbeans
22.2,47.0,19.0,27.43,50.03,7.03,49.55,mothbeans
19.5,35.2,12.7,32.06,52.78,6.55,59.23,mothbeans
1.4,40.2,24.2,30.22,51.49,7.01,30.14,mothbeans
9.5,61.9,5.8,31.57,53.11,6.94,36.42,mothbeans
11.4,39.1,22.6,27.07,47.12,6.74,55.37,mothbeans
11.9,47.7,25.0,23.62,53.1,7.28,50.87,mothbeans
19.4,46.3,10.8,27.83,59.29,6.86,58.09,mothbeans
17.4,42.5,23.7,26.16,48.15,6.67,25.13,mothbeans
15.8,45.1,26.4,32.03,52.55,6.51,49.93,mothbeans
22.5,49.0,33.1,29.86,56.24,6.85,60.26,mothbeans
14.2,48.6,30.2,31.82,52.71,7.07,32.03,mothbeans
17.8,55.3,44.0,27.71,58.73,6.73,48.1,mothbeans
24.7,53.0,14.8,29.0,56.01,6.83,23.87,mothbeans
18.1,50.8,14.8,32.78,53.25,7.0,69.02,mothbeans
5.6,53.9,5.0,30.04,53.8,6.61,56.61,mothbeans
37.2,53.2,38.8,30.08,50.29,7.04,72.22,mothbeans
14.3,61.7,17.3,29.88,54.85,6.63,34.7,mothbeans
22.2,44.0,14.3,28.93,56.49,6.51,45.56,mothbeans
23.2,58.3,13.7,26.19,56.06,6.92,46.95,mothbeans
14.9,61.4,20.6,31.63,53.44,6.89,81.24,mothbeans
32.1,46.1,8.4,28.55,49.86,6.79,41.39,mothbeans
27.4,55.8,24.6,33.3,55.94,6.78,45.48,mothbeans
28.0,47.3,12.3,26.72,53.36,6.78,51.53,mothbeans
26.9,43.1,23.8,29.87,57.81,6.26,38.06,mothbeans
23.1,61.0,13.5,30.9,83.42,6.05,47.91,mungbean
22.6,51.0,21.0,27.9,84.24,7.05,33.06,mungbean
1.1,45.2,18.2,29.22,83.21,6.95,30.97,mungbean
25.1,44.7,27.6,27.24,81.81,6.75,39.07,mungbean
25.6,55.4,16.1,31.99,78.66,6.46,52.51,mungbean
0.0,38.8,16.4,29.16,89.35,6.62,44.81,mungbean
24.7,38.5,16.2,29.72,85.11,7.41,36.46,mungbean
8.8,50.8,9.3,29.12,80.97,6.75,56.48,mungbean
18.8,50.3,8.6,30.66,94.28,7.0,70.63,mungbean
19.4,51.3,30.5,26.37,83.96,6.55,54.82,mungbean
21.8,41.4,17.6,27.87,88.37,6.96,33.53,mungbean
15.9,40.2,27.0,32.57,81.54,6.63,49.22,mungbean
9.4,58.0,15.6,30.09,88.36,6.49,68.34,mungbean
24.6,55.1,9.0,28.68,80.34,7.49,50.11,mungbean
14.4,35.7,36.7,31.0,80.25,6.78,41.15,mungbean
30.3,49.6,5.3,29.68,90.52,6.82,64.33,mungbean
6.5,54.8,5.6,30.01,81.15,6.53,46.3,mungbean
36.6,53.3,30.3,28.18,80.18,6.4,27.08,mungbean
31.5,45.5,29.4,26.12,86.37,6.31,52.44,mungbean
22.0,42.0,36.4,29.63,88.14,6.7,50.08,mungbean
30.0,55.4,18.9,29.53,87.9,6.56,48.9,mungbean
26.3,47.2,7.2,27.81,88.64,6.76,35.59,mungbean
23.7,31.4,26.8,26.28,87.64,6.77,65.24,mungbean
18.9,47.5,25.8,29.29,81.41,6.45,48.74,mungbean
19.1,60.4,26.7,28.96,83.2,6.43,49.62,mungbean
14.8,47.6,18.7,28.72,85.14,6.81,49.55,mungbean
20.6,36.5,18.3,29.45,81.79,6.49,51.14,mungbean
0.0,55.5,17.8,25.04,86.77,6.69,36.43,mungbean
20.0,48.4,24.9,29.76,84.14,6.35,49.65,mungbean
25.4,51.6,27.2,30.31,88.5,6.31,37.71,mungbean
20.7,38.4,34.1,27.7,82.5,6.55,39.15,mungbean
16.0,42.9,5.0,26.64,95.0,6.73,77.09,mungbean
14.4,37.2,14.7,32.22,89.45,6.28,56.71,mungbean
24.2,54.7,24.7,29.61,83.34,6.65,28.91,mungbean
15.4,46.7,29.1,28.93,87.96,6.94,38.11,mungbean
13.8,34.4,23.2,28.72,84.16,6.63,39.83,mungbean
20.8,48.8,17.2,28.1,84.53,6.24,66.44,mungbean
26.0,58.6,8.7,29.02,86.25,6.46,57.8,mungbean
17.0,41.0,16.6,26.06,84.28,6.52,38.48,mungbean
20.3,56.5,29.3,29.23,91.08,6.35,47.08,mungbean
22.6,48.8,35.9,24.05,81.83,7.3,48.62,mungbean
17.1,45.0,28.4,31.11,87.89,6.62,46.71,mungbean
15.4,43.0,20.9,29.71,89.98,7.0,51.91,mungbean
12.0,46.1,12.9,28.96,79.43,6.88,40.83,mungbean
7.9,59.0,27.2,28.8,87.37,6.87,37.85,mungbean
27.0,36.7,9.6,30.6,91.63,6.43,39.54,mungbean
26.0,49.7,10.1,32.62,85.25,7.43,52.35,mungbean
34.5,44.0,15.4,25.86,89.55,6.61,47.69,mungbean
19.8,44.2,14.1,30.51,79.04,6.68,67.41,mungbean
11.1,38.2,17.4,23.37,80.52,6.57,23.66,mungbean
24.5,49.6,20.4,27.43,88.46,6.53,21.62,mungbean
18.5,49.4,5.0,28.11,85.08,6.75,47.71,mungbean
19.9,60.1,15.2,27.7,88.04,7.01,48.94,mungbean
29.9,51.4,14.3,30.31,87.98,7.15,37.06,mungbean
27.1,41.5,14.6,29.76,87.64,7.03,48.89,mungbean
22.8,38.1,10.8,28.95,88.23,6.63,46.65,mungbean
14.1,42.0,24.3,29.04,87.02,6.48,64.1,mungbean
14.5,46.5,5.0,27.76,85.54,6.63,64.81,mungbean
18.8,27.4,13.6,30.39,86.01,7.01,56.06,mungbean
19.0,52.3,23.4,27.88,81.62,6.67,55.43,mungbean
24.2,60.1,20.4,31.6,93.27,7.0,46.11,mungbean
17.0,47.0,27.6,29.0,91.25,6.74,52.0,mungbean
19.9,51.7,28.9,24.55,86.07,6.47,38.61,mungbean
36.1,50.8,8.4,26.75,87.34,6.71,53.55,mungbean
19.7,47.9,16.6,26.95,85.67,7.02,50.97,mungbean
15.1,57.8,5.5,26.86,88.44,7.22,51.56,mungbean
10.2,47.2,5.3,29.13,84.27,6.44,57.45,mungbean
19.9,53.4,5.4,29.79,88.78,6.32,53.15,mungbean
20.3,47.8,28.2,29.62,83.63,6.96,21.83,mungbean
13.8,47.0,25.7,26.94,86.86,7.05,29.78,mungbean
12.7,47.1,26.8,31.69,82.42,6.79,39.52,mungbean
32.8,47.4,9.3,27.86,89.06,6.9,42.47,mungbean
8.7,45.8,9.6,30.89,91.29,6.87,43.78,mungbean
13.1,53.3,22.4,30.38,76.79,6.84,67.97,mungbean
24.1,43.8,28.0,27.59,84.55,7.32,47.92,mungbean
16.3,39.4,14.9,28.54,89.71,6.41,53.05,mungbean
21.3,45.2,16.9,30.27,84.12,6.47,50.33,mungbean
32.8,38.9,6.3,30.08,83.42,6.61,45.58,mungbean
19.0,52.1,21.2,30.99,83.57,7.1,36.33,mungbean
6.7,42.0,13.1,25.54,85.48,6.7,61.69,mungbean
16.1,45.5,31.9,25.09,90.27,6.59,35.45,mungbean
28.0,45.4,18.3,31.35,91.13,6.91,53.69,mungbean
24.0,55.3,21.2,25.08,87.69,7.2,43.73,mungbean
30.6,55.0,17.8,27.04,84.5,6.35,52.49,mungbean
20.0,37.8,22.1,30.3,84.87,6.33,61.59,mungbean
23.0,47.7,28.8,30.07,87.83,7.25,51.11,mungbean
2.4,51.9,19.6,28.97,90.51,6.94,48.28,mungbean
20.8,49.1,28.2,31.27,79.49,6.41,45.98,mungbean
9.8,60.2,28.6,30.88,86.07,6.97,24.59,mungbean
33.9,30.2,23.8,28.28,85.23,6.94,48.95,mungbean
29.8,44.0,13.6,27.2,82.5,6.6,34.25,mungbean
30.5,52.0,22.1,27.44,91.5,6.7,33.61,mungbean
10.4,54.6,31.8,26.85,88.17,7.19,54.49,mungbean
29.3,40.1,24.5,29.75,85.7,6.27,61.34,mungbean
23.6,42.2,26.4,28.76,80.2,6.2,61.69,mungbean
34.3,41.4,14.3,28.02,87.98,6.95,81.14,mungbean
24.1,54.1,7.5,23.32,82.05,5.99,57.45,mungbean
31.6,49.8,12.1,26.69,89.53,7.11,62.34,mungbean
8.3,43.9,14.4,31.38,88.34,6.32,67.95,mungbean
14.5,43.9,21.4,27.41,80.31,7.18,56.82,mungbean
35.3,79.4,21.1,28.32,59.28,6.99,58.63,blackgram
44.5,61.4,9.8,31.19,60.9,6.91,77.26,blackgram
32.0,65.0,27.0,33.46,62.38,7.38,63.04,blackgram
38.2,55.3,28.7,30.08,61.0,7.08,98.6,blackgram
45.8,62.9,27.4,28.28,68.43,7.45,69.38,blackgram
37.8,81.1,7.8,33.04,58.49,7.19,65.68,blackgram
50.1,57.8,16.5,26.43,62.67,7.17,70.08,blackgram
52.0,58.3,17.6,33.31,59.17,6.81,59.15,blackgram
44.4,64.5,27.7,30.45,60.05,7.18,56.1,blackgram
31.1,73.4,25.4,30.3,65.73,7.48,72.76,blackgram
54.7,61.6,22.3,30.56,61.38,7.33,64.17,blackgram
39.6,69.5,17.7,29.96,58.87,7.34,55.75,blackgram
39.1,60.1,6.3,31.86,78.49,7.13,80.95,blackgram
43.4,66.7,31.6,29.92,69.19,7.77,58.86,blackgram
52.0,58.1,8.6,29.59,67.37,7.25,58.09,blackgram
45.5,62.5,12.9,30.02,68.88,7.28,78.96,blackgram
43.8,52.9,16.4,27.96,62.61,7.33,62.9,blackgram
44.9,57.9,12.9,29.97,63.6,7.25,84.53,blackgram
35.6,54.7,14.3,31.79,73.82,7.05,80.04,blackgram
42.0,70.1,17.0,29.07,69.54,7.12,67.21,blackgram
38.1,76.6,14.2,30.99,65.44,7.17,85.92,blackgram
48.3,59.9,22.0,26.79,68.1,6.96,57.45,blackgram
39.7,61.5,9.2,30.13,58.05,7.07,61.61,blackgram
37.6,75.2,9.8,31.91,66.13,7.06,67.62,blackgram
53.8,71.4,8.1,33.25,58.64,7.62,69.73,blackgram
47.5,68.5,6.9,31.4,64.27,7.15,80.25,blackgram
53.7,64.0,7.6,30.09,56.84,7.0,81.6,blackgram
43.9,72.3,29.1,32.59,65.98,7.44,68.23,blackgram
38.5,70.4,14.8,29.03,68.4,7.64,63.72,blackgram
49.5,76.2,27.5,30.63,61.39,7.74,62.77,blackgram
43.4,55.0,15.7,27.87,61.39,7.41,70.14,blackgram
46.8,66.7,5.0,27.32,63.04,6.92,73.84,blackgram
23.3,59.1,22.6,32.16,70.36,6.91,71.22,blackgram
35.5,68.2,26.8,29.28,66.42,7.83,75.06,blackgram
40.2,71.6,25.9,25.1,63.55,7.66,59.06,blackgram
41.2,56.0,9.1,27.98,66.29,7.11,64.91,blackgram
38.5,63.1,18.5,30.97,68.76,6.87,82.81,blackgram
32.9,67.8,7.4,28.8,54.71,6.84,53.3,blackgram
46.3,66.2,29.0,28.65,61.33,7.47,69.82,blackgram
48.0,64.0,19.8,30.9,67.26,7.36,53.75,blackgram
45.6,82.1,23.3,31.94,66.47,6.63,65.32,blackgram
38.1,67.9,13.7,26.86,64.0,7.02,76.79,blackgram
47.2,68.2,35.5,29.53,62.97,7.81,73.12,blackgram
35.6,66.3,17.3,28.02,72.12,7.12,78.74,blackgram
33.9,71.3,30.0,30.57,70.3,7.23,75.34,blackgram
39.2,67.8,17.5,29.43,68.01,7.32,78.24,blackgram
43.2,77.7,22.4,29.22,64.46,6.96,57.53,blackgram
52.0,75.7,27.8,26.29,64.21,7.14,75.78,blackgram
35.0,73.7,13.4,33.07,75.44,6.93,62.38,blackgram
42.7,69.6,21.0,30.66,63.98,7.05,68.95,blackgram
47.0,59.4,12.1,27.74,62.94,7.35,69.39,blackgram
34.4,68.2,22.9,28.8,64.56,7.12,40.11,blackgram
45.6,68.1,26.8,30.2,69.85,6.88,75.79,blackgram
37.0,68.7,22.7,29.32,67.83,7.04,71.96,blackgram
37.8,66.5,25.9,27.61,61.72,7.31,77.57,blackgram
36.6,72.6,30.5,34.21,64.85,7.5,75.85,blackgram
44.7,64.8,8.2,30.5,63.25,6.94,64.0,blackgram
52.6,72.8,14.9,33.85,64.46,7.09,73.82,blackgram
40.4,72.5,6.6,26.91,69.45,6.83,55.32,blackgram
35.6,68.4,18.0,31.96,63.47,6.25,67.23,blackgram
35.0,63.3,11.6,27.48,68.5,7.65,86.77,blackgram
32.0,63.6,15.7,31.23,69.56,7.36,91.92,blackgram
40.0,70.1,15.9,27.86,63.15,7.02,85.84,blackgram
27.5,67.2,9.4,30.75,66.48,6.93,79.57,blackgram
40.6,65.4,13.6,30.37,62.17,7.36,67.78,blackgram
34.3,70.8,19.2,34.38,62.25,7.18,73.46,blackgram
35.5,73.3,17.2,32.27,63.35,7.29,85.94,blackgram
34.3,76.5,15.5,28.69,63.37,6.79,88.34,blackgram
38.2,60.0,15.4,30.86,66.86,6.73,89.28,blackgram
44.5,61.3,18.4,29.54,62.3,6.94,88.97,blackgram
32.5,69.5,14.8,28.06,66.12,7.24,57.26,blackgram
44.5,67.5,17.0,27.78,63.87,6.47,62.49,blackgram
48.2,64.4,19.4,30.98,67.5,7.2,63.39,blackgram
33.9,63.4,14.0,27.55,71.9,7.34,66.04,blackgram
50.3,63.9,14.5,33.2,65.57,7.31,69.13,blackgram
43.8,68.7,14.5,28.36,70.94,7.29,74.98,blackgram
42.2,73.9,25.9,26.65,65.23,7.35,61.03,blackgram
45.0,59.0,22.4,29.82,63.75,7.54,47.58,blackgram
44.1,62.4,15.2,30.49,64.83,7.74,75.12,blackgram
42.8,69.0,15.2,34.42,70.7,6.96,70.64,blackgram
35.7,57.6,32.7,26.03,68.98,7.29,42.15,blackgram
41.6,61.9,15.8,28.26,65.34,7.24,75.55,blackgram
44.8,74.7,26.8,29.51,67.85,7.04,74.81,blackgram
49.2,60.8,24.2,29.47,66.23,7.53,63.57,blackgram
38.1,82.1,5.0,34.13,73.86,6.77,90.14,blackgram
39.2,61.8,21.9,27.45,66.24,7.53,71.81,blackgram
55.5,68.5,12.7,32.07,63.14,7.18,71.65,blackgram
47.7,57.9,28.6,28.27,71.09,6.94,93.31,blackgram
32.2,64.5,26.3,32.19,64.82,7.59,69.83,blackgram
47.2,67.1,21.8,30.07,57.65,7.17,59.82,blackgram
51.8,60.4,10.4,31.36,62.93,7.06,56.34,blackgram
41.5,67.4,15.8,30.36,61.28,6.67,44.08,blackgram
38.9,63.3,15.4,31.63,62.97,7.52,68.25,blackgram
44.0,71.2,15.8,27.71,51.93,6.59,71.52,blackgram
47.8,55.8,20.3,29.09,67.56,7.37,63.07,blackgram
41.1,69.4,17.3,24.93,65.15,6.93,57.38,blackgram
39.0,69.7,7.6,30.62,65.16,7.4,60.14,blackgram
38.3,67.0,10.9,29.94,62.0,6.94,57.6,blackgram
38.1,66.6,31.1,30.97,64.56,6.91,55.83,blackgram
46.5,70.3,23.8,31.34,72.68,7.56,78.44,blackgram
10.3,60.1,27.2,24.32,74.22,6.7,51.87,lentil
33.5,64.9,20.7,23.17,66.22,6.86,47.53,lentil
10.0,74.0,19.0,23.79,62.17,7.18,48.84,lentil
18.7,74.3,21.2,22.42,60.5,6.94,43.52,lentil
12.7,77.3,26.4,26.35,67.92,7.07,52.23,lentil
26.2,59.2,10.8,22.17,58.31,6.75,65.63,lentil
0.0,60.5,23.0,23.6,64.73,6.9,49.0,lentil
14.9,62.6,12.3,20.77,58.31,7.74,44.43,lentil
37.6,61.9,18.9,28.94,65.61,7.21,35.43,lentil
30.3,66.0,22.2,24.64,61.74,7.1,64.87,lentil
18.2,63.1,10.8,27.65,72.19,6.98,35.16,lentil
19.6,53.5,25.8,26.68,57.87,6.62,39.49,lentil
18.9,64.3,24.0,22.02,67.73,6.69,29.16,lentil
12.5,72.2,11.7,28.47,63.86,6.74,46.51,lentil
11.9,71.6,24.5,24.85,61.48,6.6,26.12,lentil
7.2,73.0,18.6,22.46,65.89,7.57,57.22,lentil
18.4,59.5,17.5,29.64,73.53,7.33,49.7,lentil
14.8,71.3,10.0,26.18,62.08,7.18,31.26,lentil
11.2,68.3,25.7,23.83,55.39,6.28,20.0,lentil
25.6,80.7,27.5,25.94,70.16,7.34,50.49,lentil
27.5,72.6,27.6,21.13,65.22,7.1,20.42,lentil
7.5,67.0,18.6,22.15,62.89,7.0,51.88,lentil
28.7,57.9,28.9,23.36,56.37,7.16,48.0,lentil
24.4,59.4,12.4,23.48,68.0,6.44,52.66,lentil
15.2,69.3,23.4,22.6,67.79,7.36,49.57,lentil
25.0,64.3,5.0,26.2,60.86,6.83,61.12,lentil
18.7,76.1,33.4,25.73,65.25,7.57,25.05,lentil
21.0,64.4,33.1,23.84,65.97,7.4,47.2,lentil
17.6,63.7,9.8,21.26,66.53,6.37,29.72,lentil
17.8,66.5,24.1,22.93,73.78,6.91,47.75,lentil
27.2,66.1,19.5,25.03,61.82,6.75,45.66,lentil
15.8,65.7,5.0,24.61,56.07,6.99,45.62,lentil
16.9,68.6,22.7,22.8,62.41,7.34,33.61,lentil
13.7,69.0,18.0,24.79,65.53,6.76,47.95,lentil
34.7,70.7,20.1,24.44,61.83,7.26,48.04,lentil
6.6,68.7,23.2,23.48,64.95,6.54,45.08,lentil
20.5,76.2,20.6,23.0,61.7,7.47,46.08,lentil
16.1,78.6,30.9,26.83,64.85,6.79,47.84,lentil
1.5,65.0,32.5,23.88,66.96,7.14,20.0,lentil
30.6,57.0,9.3,22.76,68.92,7.3,22.02,lentil
28.8,71.9,17.6,25.87,60.5,7.23,68.54,lentil
